listing_id,id,date,reviewer_id,reviewer_name,comments
13913,80770,40408,177109,Michael,"My girlfriend and I hadn't known Alina before we took the leap of faith to rent her flat. Alina just couldn't be nicer! Her flat is comfortable, homey, very sunny, and quiet at night. Her diverse neighborhood rocks! It's full of excellent eateries of varying ethnicities, good supermarkets, etc., etc. Her place is about a 10-minute walk to the Finsbury Park tube stop, and there are also several buses that ply Stroud Green Road. The Piccadilly and Victoria tube lines that serve Finsbury Park are very dependable and come frequently. My only caveat is if you are unwilling to take 20- to 40-minute commutes to downtown London attractions and money is no object, you will prefer to stay downtown. But for anyone else, you will love your experience of living in a real, untouristy neighborhood and dealing with a generous, warm-hearted woman I'm happy to call a new friend."
13913,367568,40735,19835707,Mathias,Alina was a really good host. The flat is clean and tidy - and really close to Finsbury Park station which is quite close to Central London. I recommend Alina to everyone. 
13913,529579,40799,1110304,Kristin,Alina is an amazing host. She made me feel right at home. It was more like hanging out with a friend than a complete stranger. She's very sweet and makes a mean espresso. There are tons of places right around flat to eat and market is close in case you want to cook. I would definitely stay here again if I was in London. Thanks Alina you're awesome.
13913,595481,40819,1216358,Camilla,"Alina's place is so nice, the room is big and clean, and the bed is huge. Alina is a great host, and she made sure I had everything I needed, for instance she had put clean towels on the bed for me:) I felt very at home in her place. Aside from that she really helped me out with a lot of things, and even helped me find a permanent place to live in London. So overall a great place to stay with a great girl."
13913,612947,40825,490840,Jorik,"Nice location in Islington area, good for short business trip. House is OK, host is very friendly."
13913,4847959,41422,6405442,Vera,"I'm very happy to have been Alina's guest! We've had great time in London and enjoyed our stay. Alina is a great host, we felt us so welcomed by her! 
Alina's house location is very convenient, it's only 5 min walk to Finsbury Park tube station and also a direct (Picadilly) line to Heathrow Airport (in case yu have an early departure you can use the opportunity to sleep a bit in the train :) 
The flat itself is very nice and clean and comfortable, especially the double-bed with new mattress, I slept like a newborn :) And also the red sofa on the small roof terrace is great, I enjoyed the last night London sky!
To all who is going to visit London I highly reccomend Alina and her beautiful house to stay in. Alina, thank you so much and I hope to see you one day again!"
13913,8142329,41564,9195551,Honi,"I stayed with Alina in her flat in London for a week. It's a wonderful home with a warm feeling and everything you need. Alina went out of her way to make sure I was comfortable and we shared some great chats and meals. I recommend Alina's place to anyone looking for a home for a while in London, and look forward to seeing Alina again. "
13913,11876590,41746,5194009,Alessandro,"Alina was a perfect guest and her flat is absolutely wonderful. Highly recommended. 
"
13913,46669566,42259,42970248,Oleh,"Alina's flat is exceptional one.  
I have to say i have never been to such an atmospheric place like her flat.
Plenty of stunning art items around and all of these pictures and drawings are magnificent and inspirational.
The kitchen is AMAZING. Huge window,  very bright and cozy  furnished with great equipment.

I would highly recommend this flat, 
i have had numerous short term rent in rent
and this one is number one to me.



"
13913,64559033,42434,45337884,Mo,"The House is a piece of Art , there are beautiful portraits everywhere ,  so close to the tube station , on piccaddily and Victoria lines , the host alina is very friendly , welcoming , and polite person , highly recommended"
13913,196153582,43000,40946748,A,Was great base for my London visit and great support to update me about things to do. l felt very much welcome. Thanks again.
13913,261305314,43226,106481379,Daniel,"Alina was an amazing host, simply brilliant. Always available and kind, super kind! I miss our discussions in front of coffee or breakfast. Stay in touch!"
13913,262179591,43228,99110277,Philippe,The host canceled this reservation 53 days before arrival. This is an automated posting.
13913,277816069,43268,31960932,Belinda,Lovely relaxed place to stay. Very friendly and thoughtful host would definitely stay again. Very short walk from tube very safe and diverse area. Would definitely stay again and would recommend going to Bar Faltering Fullback for a drink in a local bar
13913,451955791,43597,58728173,Charles,"Alina's place is cosy, convenient, and full of eclectic artwork,  and furnishings made by herself personally. She met me at the door and instantly made me feel at home. Entrance is on a major road but the flat is set back so there is very little noise from the street."
13913,467269212,43626,2291517,Andrew,"Alina, was very quick to respond. Thoughtful and accommodating. Would definitely recommend."
13913,538005731,43737,7253695,Bart,Alina is an amazing host who welcomed me warmly and was always up for a talk. Her place is in a nice neighborhood with lots of great restaurants around.
13913,539957261,43740,45592945,John,Alina is a very relaxed and friendly host who made me completely welcome.  Whilst the room fronted the main road there was no noise and a comfortable bed made for a great night's sleep.  The location is great with so many bars and restaurants on the doorstep.
13913,543287825,43745,28531625,Philip,Felt at home - Alina is an excellent host - very friendly - makes you feel wanted not just tolerated - many thanks
13913,568976830,43794,38999586,Ania,"Alina’s place is great! It’s very stylish and cosy at the same time. She is a great host, quick at responding and very accommodating. I would definitely stay at Alina’s again."
13913,609079783,43883,336060662,Samuel,Outstanding host. Got along great.
15400,21032,40168,53815,Hailey,"We loved staying at Phillipa's place in Chelsea. The flat was lovely, and the neighborhood was great. Lots of fun shops, and close to two metro stops. We would love to stay there again!"
15400,109674,40453,148145,Garth,"A comfortable apartment conveniently located near shops, restaurants and tube stations. 
Philippa is a very helpful and friendly hostess. We would recommend her and her apartment to anyone.
Thank you Philippa for an enjoyable holiday."
15400,120941,40468,112795,Cédric,"I really enjoyed my week at Philippa's, the place is ideally situated in Chelsea, and she is a very kind host, I would definitely recommend that you stay there, I will again without any doubt. "
15400,192035,40606,308956,Rob,"I am a little late reviewing this but it is important to me that I do.  Look, the place is in a great location and the neighbor was very friendly.  The place was perfectly comfortable and Philippa gave a lot of helpful information prior to our arrival in England.

However, me and my girlfriend were robbed the second night we were there.  We went out to meet friends and by the time we got back, all of our valuables were taken (computers, iPods, camera equipment, jewelry, etc).  It was upon the arrival of the police that we learned two things:
1)  Rooms here are rented out very, very frequently.  There are always people in and out so it is very obvious that there are tourists coming in and out of here.
2) The locks, as explained by the police, are very inadequate at this location and can be circumvented with extremely simple tactics.

The most aggravating part of this was how we were treated.  We followed all instructions exactly as they were laid out and were very deliberate in making sure everything was perfectly secure as we went in and out of the place.  However, all correspondence with Philippa (through email or through her neighbor) indicated nothing other than it somehow being our fault.  There was very little sympathy and all the commentary centered around what WE did.  Additionally, Philippa basically just stopped replying to emails after we expressed how frustrated we were from her responses and the lack of security and safety in the building.

So, it is a nice place and a convenient location, but the threat of robbery (or God forbid attacks) is just simply too high here."
15400,219843,40640,427875,Maria,"Very nice flat, and extremely well-located. Great for couples and single travelers. It is small and notes in the lobby indicate that the neighbors don't take kindly to noise--if you are a large family or group, this is probably not the place for you.

Philippa herself was a great host--I very much enjoyed meeting her. She left a great selection of helpful tourist info. "
